Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption,Month,PowerConsumptionXGB,PowerConsumptionCat
17.19,73.6,0.078,0.044,0.171,21402.28137,12,22033.648,21463.962857342776
16.77,75.9,0.081,0.044,0.185,21621.29278,12,22130.553,21635.126425463182
16.43,76.5,0.079,0.055,0.126,22180.98859,12,23007.379,22141.894252819067
16.26,77.3,0.082,0.018,0.174,21828.13688,12,22616.166,21813.877700037312
16.14,78.0,0.076,0.059,0.141,21809.88593,12,22844.154,21816.262144159195
15.94,79.6,0.081,0.055,0.133,22156.65399,12,23012.13,22133.985012219986
15.7,79.7,0.077,0.033,0.163,21815.96958,12,22713.543,21816.552522415106
15.6,79.6,0.08,0.04,0.133,21298.85932,12,22229.797,21280.23498001339
15.6,78.8,0.079,0.048,0.133,20234.22053,12,21215.312,20277.98550249334
15.69,78.5,0.08,0.033,0.171,19023.57414,12,19696.082,18668.649046151622
15.61,78.0,0.076,0.048,0.163,18476.04563,12,19841.27,18650.734718789936
15.51,77.9,0.078,0.026,0.189,18190.11407,12,19368.893,18642.93943657837
15.48,77.8,0.077,0.044,0.174,18269.20152,12,19527.877,18653.51321223642
15.49,77.7,0.081,0.07,0.148,18561.21673,12,19601.379,18574.222856869354
15.53,77.5,0.082,0.051,0.178,18871.48289,12,19902.555,18618.922474672865
15.44,78.0,0.081,0.282,0.363,18938.40304,12,19722.934,18640.60894225893
15.45,77.9,0.083,1.624,1.65,19339.92395,12,20872.018,19636.7823432656
15.39,78.0,0.077,4.939,4.905,19850.95057,12,21529.541,19643.232055234883
15.41,77.8,0.081,15.56,14.72,20094.29658,12,21272.135,20279.08488194507
15.46,76.5,0.079,36.77,33.05,20647.90875,12,21887.21,20656.064556798126
15.61,76.1,0.083,77.0,67.06,20921.673,12,22307.016,20966.181986022253
15.7,75.3,0.08,92.1,71.7,21280.60837,12,22300.605,21356.77071306093
15.56,75.6,0.082,98.7,61.71,21822.05323,12,22912.227,21878.67694527374
15.63,75.1,0.083,128.4,60.09,22485.1711,12,23587.049,22449.67690498382
15.82,75.0,0.081,180.7,80.1,22929.27757,12,23739.77,22887.01342538722
15.99,73.7,0.082,178.1,76.6,23714.06844,12,24567.625,23759.955412409483
16.06,73.5,0.084,194.8,78.7,24602.28137,12,25212.707,24698.238292545768
16.28,73.1,0.081,237.0,71.5,25253.23194,12,25664.69,25302.6400490324
16.37,72.7,0.08,263.9,66.82,25739.92395,12,25908.607,25779.77278487765
16.5,73.3,0.084,291.1,68.45,25819.01141,12,26410.496,25855.623568241877
16.65,73.4,0.082,316.1,70.2,26092.77567,12,26475.498,26090.367711282473
16.78,71.8,0.078,333.2,69.62,26494.29658,12,26912.62,26429.100177113105
17.03,70.9,0.083,382.2,91.0,26877.56654,12,27383.479,26883.252694202376
17.54,67.62,0.079,466.4,153.8,27084.41065,12,27180.174,27064.468674013282
17.76,67.22,0.083,506.1,174.2,27437.26236,12,27628.22,27599.33301228132
17.79,67.28,0.084,500.9,161.8,27808.36502,12,28085.615,27825.12102887245
17.74,66.58,0.084,469.4,105.4,28015.20913,12,28418.531,28031.223482078778
17.81,66.22,0.085,479.9,100.9,28142.96578,12,28576.6,28135.48692123897
17.99,64.42,0.083,482.9,81.9,28775.6654,12,28895.266,28742.52458534825
18.62,60.81,0.084,505.0,96.8,28739.1635,12,29008.273,28757.642379514084
18.88,59.75,0.082,542.7,126.2,28556.65399,12,28808.02,28574.640008872608
19.03,59.48,0.084,533.0,110.9,28246.38783,12,28673.982,28297.576554746738
18.96,59.78,0.08,514.8,77.0,28106.46388,12,28452.74,28155.04479125026
18.91,60.58,0.083,512.1,70.0,27771.86312,12,28265.482,27833.537068900543
18.99,60.01,0.083,506.5,62.06,27796.19772,12,28282.398,27842.00469742657
19.02,59.91,0.084,503.6,61.95,28088.21293,12,28571.904,28163.55254428731
19.2,58.91,0.083,509.2,62.69,28453.23194,12,28804.25,28520.724016604585
19.39,58.67,0.082,509.8,68.23,28702.6616,12,29005.598,28693.777891735106
19.6,58.71,0.082,516.3,74.2,28952.09125,12,29395.035,28989.558627504986
19.27,59.91,0.08,499.0,69.88,28745.24715,12,28834.166,28757.323157047875
19.16,60.74,0.082,489.3,67.41,28702.6616,12,28924.73,28684.860255148604
19.17,60.71,0.085,481.6,66.97,28520.15209,12,28981.135,28565.344513026248
19.28,58.64,0.085,474.7,67.35,28136.88213,12,28709.176,28161.056295425522
19.27,57.37,0.085,462.3,68.52,27899.61977,12,28529.068,27926.007812463897
19.39,55.8,0.086,419.3,86.7,27765.77947,12,28401.066,27872.94101053815
19.27,57.57,0.084,400.4,116.2,27419.01141,12,27909.887,27602.314068381696
19.19,58.81,0.084,346.5,153.3,27339.92395,12,27777.32,27489.981935175652
18.91,59.21,0.083,188.5,123.7,27139.1635,12,27567.934,27132.30478906558
18.86,60.34,0.083,203.2,156.3,26792.39544,12,27277.008,26849.240923799458
18.82,61.01,0.085,212.5,198.1,26926.23574,12,27426.902,27007.39177718337
18.77,60.98,0.085,156.4,155.6,26816.73004,12,27421.96,26907.482291118904
18.63,61.91,0.082,62.55,60.7,26841.06464,12,27428.611,26910.012675022295
18.56,62.18,0.082,70.6,72.9,26579.46768,12,27273.096,26557.054549989472
18.47,62.21,0.083,40.07,40.05,26439.54373,12,27281.193,26437.3227904305
18.4,62.4,0.082,50.89,51.8,26390.87452,12,27109.77,26286.50646833895
18.36,62.71,0.08,48.47,49.81,26348.28897,12,26775.643,26294.253300573044
18.45,62.61,0.081,150.7,171.5,26476.04563,12,27003.385,26475.185484334244
18.56,62.31,0.082,133.3,161.5,26853.23194,12,27188.17,26902.23491046111
18.43,62.78,0.084,134.6,155.7,27449.42966,12,27966.379,27611.911508085508
18.41,62.67,0.084,131.0,153.4,27680.60837,12,28202.195,27740.51517995391
18.3,62.94,0.085,116.6,137.2,28806.08365,12,29114.84,28765.10376236063
18.2,63.31,0.084,98.2,116.8,30351.3308,12,30706.482,30298.054487746012
18.02,64.07,0.084,69.16,84.6,33204.56274,12,33110.824,33117.47445984483
17.73,64.97,0.084,43.11,53.54,34871.48289,12,34507.81,34861.588023393575
17.47,66.01,0.085,16.06,18.0,35266.92015,12,35092.3,35304.11743996459
17.18,66.84,0.085,7.69,7.97,35333.8403,12,35199.945,35365.61484867611
16.95,67.78,0.084,4.266,4.479,35546.76806,12,35376.94,35551.56038764536
16.77,68.65,0.083,1.826,1.972,35638.02281,12,35292.51,35654.17462713574
16.56,69.68,0.084,0.424,0.493,35443.34601,12,35206.074,35438.33059096352
16.36,70.9,0.08,0.062,0.141,35565.01901,12,34612.105,35553.8520732706
16.26,71.4,0.084,0.059,0.122,35704.94297,12,34938.3,35721.92696845834
16.21,71.6,0.084,0.044,0.122,35498.09886,12,35020.32,35522.51705466035
16.09,72.2,0.082,0.044,0.1,35388.59316,12,34692.25,35453.71743397943
15.98,72.4,0.08,0.018,0.182,35498.09886,12,34431.766,35521.73793101586
15.99,72.5,0.079,0.026,0.089,35504.18251,12,34867.074,35524.38364355931
15.96,72.6,0.081,0.04,0.145,35473.76426,12,34525.285,35519.64596719505
15.84,72.8,0.08,0.051,0.137,35169.58175,12,34129.777,35185.41957984295
15.65,73.5,0.084,0.08,0.093,35193.91635,12,34764.516,35195.288597286504
15.62,73.5,0.083,0.015,0.119,35023.57414,12,34253.61,35091.903880661994
15.51,73.8,0.084,0.022,0.167,35522.43346,12,34622.4,35559.12663597997
15.36,74.8,0.081,0.044,0.137,35704.94297,12,34789.973,35727.08812069278
15.28,75.6,0.082,0.059,0.119,35656.27376,12,35054.168,35730.20178396333
15.29,75.6,0.084,0.048,0.141,35443.34601,12,34786.457,35459.79507306193
15.22,75.7,0.084,0.037,0.122,35254.75285,12,34504.223,35318.976009924714
15.1,76.1,0.082,0.033,0.148,35029.65779,12,34150.16,35094.527176875
14.94,76.8,0.086,0.048,0.152,34889.73384,12,34115.57,34911.077583706705
14.94,76.8,0.085,0.033,0.148,34871.48289,12,34051.43,34915.495387120565
15.01,76.3,0.082,0.044,0.133,34323.95437,12,33829.863,34337.800281744945
15.03,76.1,0.081,0.026,0.174,33806.84411,12,32983.414,33825.018747629634
15.14,75.8,0.083,0.044,0.111,33593.91635,12,33107.066,33609.90400817578
15.07,75.6,0.086,0.044,0.115,33344.48669,12,33008.51,33384.90664502507
15.08,75.9,0.083,0.029,0.137,33009.88593,12,32378.137,32958.785118480584
15.28,75.7,0.088,0.026,0.141,32565.77947,12,32239.21,32533.679767412566
15.33,74.0,0.085,0.055,0.108,32261.59696,12,32073.791,32176.417436066993
15.17,74.0,0.087,0.033,0.159,31872.24335,12,31517.396,31746.33424916613
15.06,74.3,0.081,0.051,0.208,31026.61597,12,30500.816,31030.345250928116
15.49,73.9,0.084,0.044,0.119,30637.26236,12,30584.53,30647.144393730552
15.44,72.5,0.085,0.044,0.133,30351.3308,12,30176.37,30277.470967563328
15.46,72.3,0.085,0.037,0.178,29864.63878,12,29528.875,29850.689499344684
15.49,71.5,0.084,0.037,0.159,28994.67681,12,28654.924,28971.321398170683
15.55,71.3,0.085,0.037,0.1,28118.63118,12,28164.463,28137.700664763215
15.45,71.5,0.083,0.04,0.104,27589.35361,12,27861.71,27609.37218119758
14.97,73.8,0.084,0.059,0.122,26883.65019,12,27046.943,26861.30817328471
14.84,75.0,0.082,0.059,0.137,26244.86692,12,26320.791,26192.19942548011
15.12,73.9,0.084,0.037,0.133,25557.41445,12,25823.543,25516.927429032574
15.34,72.9,0.082,0.04,0.189,24949.04943,12,25175.26,24915.58085422792
15.78,69.62,0.082,0.029,0.215,24444.10646,12,24530.912,24436.396592177363
16.12,67.85,0.078,0.051,0.145,23987.8327,12,24311.936,23886.322358991914
16.18,64.77,0.082,0.055,0.159,23762.73764,12,24207.15,23701.314967124243
16.22,64.84,0.082,0.048,0.174,23434.22053,12,23808.283,23410.466466794853
15.93,66.21,0.082,0.055,0.108,23069.20152,12,24017.021,23068.00718631302
15.89,66.17,0.082,0.037,0.133,22856.27376,12,23650.148,22745.22350052341
16.89,61.97,0.082,0.048,0.141,22588.59316,12,23518.617,22564.770029889638
17.41,54.99,0.081,0.055,0.1,22229.65779,12,23460.828,22222.245850334046
17.38,55.66,0.08,0.029,0.119,21937.64259,12,22485.682,21913.065301904106
17.27,55.8,0.08,0.026,0.182,21773.38403,12,22503.17,21702.60275885576
16.59,61.61,0.085,0.051,0.13,21688.21293,12,23127.125,21714.084174053507
16.15,62.84,0.085,0.029,0.163,21396.19772,12,22405.74,21453.4772984519
16.1,63.47,0.084,0.044,0.137,21523.95437,12,22621.613,21508.822949556612
16.18,63.57,0.088,0.04,0.159,21323.19392,12,22558.73,21281.30830718293
16.18,63.94,0.087,0.033,0.126,21329.27757,12,22600.377,21288.892121528406
16.29,63.77,0.087,0.04,0.178,21359.69582,12,22403.355,21278.086999174488
16.22,65.14,0.084,0.044,0.159,21250.19011,12,22276.486,21279.639519019493
15.89,69.48,0.084,0.059,0.189,21158.93536,12,22035.852,21182.46109639381
15.44,72.7,0.082,0.055,0.13,21146.76806,12,22108.275,21196.615191201825
15.2,74.7,0.081,0.055,0.13,21092.01521,12,22118.773,21035.588101688314
14.99,75.4,0.083,0.04,0.156,20982.50951,12,21720.848,21029.558524225722
15.05,75.5,0.088,0.029,0.204,20812.1673,12,22016.936,20870.68877354717
15.36,74.1,0.089,0.026,0.152,20720.91255,12,21592.371,20643.194635487984
15.8,70.3,0.087,0.026,0.156,20818.25095,12,21917.494,20878.733923950575
15.82,66.98,0.082,0.026,0.174,20848.6692,12,21916.334,20876.78953093494
15.79,67.01,0.086,0.022,0.141,20933.8403,12,22125.113,20888.32728104233
15.65,66.12,0.086,0.033,0.156,20976.42586,12,22092.104,21032.050027747362
15.69,64.91,0.082,0.051,0.189,21098.09886,12,21801.268,21179.096110860854
15.54,65.15,0.085,0.033,0.141,21085.93156,12,22068.51,21029.203111686882
14.58,69.22,0.086,0.033,0.226,21311.02662,12,22368.38,21267.098795569767
15.12,68.88,0.079,0.055,0.126,21913.30798,12,22785.705,21891.157978215604
15.48,64.28,0.081,0.044,0.171,21767.30038,12,22346.793,21697.758332650214
15.56,63.51,0.083,0.073,0.082,21085.93156,12,22455.158,21036.842043695076
15.71,61.27,0.087,0.048,0.137,21536.12167,12,22680.191,21517.658316434594
15.38,63.24,0.085,0.044,0.182,21420.53232,12,22423.016,21449.323946251465
15.35,63.88,0.085,0.04,0.1,20733.07985,12,21888.207,20659.353954021695
15.54,61.71,0.081,0.055,0.115,20234.22053,12,21211.252,20298.716351479743
15.39,62.94,0.079,0.051,0.159,19060.07605,12,19798.81,18676.665401069862
15.55,62.84,0.088,0.033,0.122,18749.80989,12,20418.215,18541.616255329165
15.53,64.08,0.087,0.062,0.1,18232.69962,12,20081.896,18556.027308815297
15.51,64.38,0.085,0.048,0.133,18202.28137,12,19812.533,18529.95093270992
15.73,64.21,0.084,0.044,0.152,18573.38403,12,19819.129,18562.39018324937
15.62,65.22,0.083,0.07,0.145,18688.97338,12,19977.36,18589.39065725795
15.45,67.69,0.083,0.128,0.189,19200.0,12,19913.049,19642.35209110481
15.73,65.58,0.082,0.483,0.604,19777.94677,12,21167.584,19660.462984731104
15.74,65.05,0.075,1.504,1.479,20057.79468,12,21640.938,20272.225341162703
15.93,63.48,0.081,2.956,2.959,20386.31179,12,21664.586,20273.671282185576
16.21,62.05,0.081,7.35,7.59,21110.26616,12,22269.14,21188.82637448905
16.36,60.48,0.084,16.39,16.49,21633.46008,12,22409.5,21629.352594972497
15.75,66.55,0.072,22.62,22.81,21943.72624,12,23145.678,21920.862068491937
15.38,67.15,0.071,24.1,23.84,22527.75665,12,23835.148,22527.466539447916
15.53,67.25,0.072,54.52,54.82,23312.54753,12,24312.031,23367.23865052427
15.56,67.65,0.085,82.2,77.5,24121.673,12,24834.555,24121.046948224586
15.56,69.63,0.089,234.4,106.6,24663.11787,12,25526.03,24692.43439686542
15.72,69.86,0.088,297.4,137.5,24918.63118,12,25658.629,25016.877844643637
16.48,68.89,0.085,276.7,88.7,25825.09506,12,26439.178,25840.237111861104
17.08,62.81,0.083,281.4,61.72,26676.80608,12,27261.172,26752.711651279285
17.29,59.11,0.08,299.3,54.14,26853.23194,12,27136.363,26900.583533634883
17.39,57.54,0.085,319.6,55.19,27327.75665,12,27843.994,27500.526621232704
17.47,58.31,0.083,342.6,62.56,27607.60456,12,28162.576,27673.24752579444
17.54,56.77,0.085,360.5,65.27,27899.61977,12,28342.578,27931.13868457349
17.67,56.94,0.084,379.5,65.06,28635.74144,12,28794.355,28686.43085760269
17.81,57.68,0.086,402.6,71.4,28939.92395,12,29249.707,28987.062291122154
17.93,56.64,0.086,424.1,73.0,29183.26996,12,29899.242,29226.015076145475
18.1,56.24,0.084,439.6,71.2,29280.60837,12,29543.277,29302.17513773509
18.3,56.14,0.085,474.3,89.0,29925.47529,12,30282.02,29959.16418229008
18.31,56.24,0.087,483.6,88.0,29882.88973,12,30259.342,29877.818697566567
18.32,56.04,0.086,496.5,89.4,30059.31559,12,30594.406,30047.84850587017
18.42,54.87,0.085,520.6,102.8,30107.98479,12,30584.441,30137.28812909418
18.49,54.07,0.087,414.2,175.1,30205.32319,12,30820.312,30242.10817872464
18.1,55.37,0.086,213.7,197.4,30180.98859,12,30648.252,30240.35799837261
18.02,57.48,0.086,184.8,186.9,29949.80989,12,30079.15,29979.546878019006
17.65,58.64,0.082,136.1,138.6,29767.30038,12,29912.334,29772.19132616985
17.22,61.28,0.081,63.16,63.67,29870.72243,12,29998.713,29877.000571019205
16.38,65.92,0.082,178.3,182.7,29992.39544,12,29783.98,30059.70621938801
16.26,66.32,0.082,314.1,251.0,30028.89734,12,29981.934,30060.142055952554
16.52,68.16,0.084,250.9,225.8,29980.22814,12,29933.617,30062.619730780127
16.77,67.36,0.081,175.7,177.8,30241.8251,12,30135.236,30233.25832983519
16.98,63.85,0.083,134.5,136.7,29834.22053,12,29905.574,29883.495959867276
16.75,65.82,0.085,62.69,62.66,29171.10266,12,29601.953,29227.86148010513
15.58,69.93,0.081,238.1,175.2,29530.03802,12,29423.172,29567.165139000823
15.93,69.99,0.082,682.2,262.4,29584.79087,12,29532.29,29583.609647274192
16.87,65.12,0.082,629.1,224.0,29536.12167,12,29590.729,29582.050893394608
17.13,60.95,0.08,349.5,209.4,29183.26996,12,29327.309,29244.8085346477
17.02,61.01,0.084,159.0,127.0,28921.673,12,29101.193,29000.52615902474
16.88,61.81,0.08,99.5,99.5,28800.0,12,28747.973,28759.628151041583
16.83,62.88,0.085,259.3,173.2,28459.31559,12,28724.514,28517.518573351812
17.02,62.55,0.081,109.5,104.4,28611.40684,12,28548.977,28554.00176217045
16.88,61.41,0.081,92.0,90.1,28574.90494,12,28625.053,28563.203498661405
16.93,62.48,0.078,81.7,82.0,28380.22814,12,28516.36,28416.215656687946
16.68,64.92,0.079,111.2,112.4,28349.80989,12,28657.455,28409.6440361159
16.39,65.12,0.079,115.9,119.4,28428.89734,12,28350.855,28494.796793139496
16.35,63.62,0.079,81.8,84.7,27863.11787,12,28013.637,27910.818049035573
16.32,63.95,0.081,61.64,64.03,27960.45627,12,27993.16,28053.06447997119
16.42,64.55,0.08,51.22,51.97,28185.55133,12,28140.215,28310.654253658777
16.49,64.08,0.082,58.28,62.97,28465.39924,12,28585.783,28511.669639468975
16.53,63.65,0.083,29.95,28.79,29000.76046,12,29334.428,28981.67236841887
16.6,62.42,0.082,44.43,47.66,29031.17871,12,28974.201,29121.638659096177
16.64,62.68,0.082,96.4,115.3,29560.45627,12,29559.89,29565.115298858607
17.0,57.68,0.082,108.9,133.0,31659.31559,12,31597.842,31614.3625263563
16.96,57.71,0.079,78.4,97.4,34786.31179,12,34053.867,34742.9453797292
16.65,58.48,0.084,30.42,34.81,36520.15209,12,35937.977,36598.25193295805
16.51,59.28,0.084,18.6,19.33,36678.327,12,36335.086,36716.92969964544
16.22,60.44,0.082,11.26,11.29,36848.6692,12,36099.28,36916.60644856134
16.2,59.95,0.08,5.389,5.606,37201.52091,12,36684.37,37327.0847611373
16.12,60.05,0.084,1.431,1.513,37098.09886,12,36699.594,37185.443782019465
16.13,60.11,0.082,0.296,0.234,37055.51331,12,36143.035,37087.49957961598
16.39,57.81,0.083,0.073,0.126,37043.34601,12,36269.21,37092.38810491895
16.43,56.87,0.085,0.048,0.137,36891.25475,12,35950.004,36927.46668608621
16.32,58.34,0.081,0.051,0.096,36812.1673,12,36012.39,36928.71685716843
16.3,59.41,0.077,0.066,0.1,37012.92776,12,36294.215,37090.009886152264
15.97,62.12,0.082,0.055,0.156,36958.1749,12,35914.508,37010.64170000335
15.85,61.92,0.081,0.048,0.122,37165.01901,12,36186.395,37191.450052425454
15.94,61.35,0.083,0.044,0.104,37134.60076,12,36520.297,37192.57593645675
15.93,60.71,0.083,0.066,0.1,37268.44106,12,36711.285,37330.047513790836
15.94,61.15,0.081,0.048,0.093,37128.51711,12,36484.84,37194.60053190776
15.98,61.38,0.079,0.055,0.108,36927.75665,12,36015.445,37016.77771348632
15.9,62.15,0.082,0.059,0.126,36824.3346,12,35992.004,36921.70660465298
15.9,62.58,0.084,0.059,0.111,36605.32319,12,35831.504,36637.37387948
15.91,62.58,0.085,0.07,0.13,36532.31939,12,35520.66,36638.84371523473
15.87,63.88,0.08,0.055,0.141,36142.96578,12,35066.31,36114.42893788742
15.52,66.59,0.082,0.08,0.13,36063.87833,12,35298.867,36116.629822228795
15.27,66.58,0.083,0.037,0.108,35510.26616,12,35129.164,35535.86837689585
15.35,66.19,0.084,0.059,0.141,35333.8403,12,34657.65,35378.67345661536
15.23,65.49,0.083,0.095,0.052,35218.25095,12,35552.336,35209.44671267244
15.28,65.35,0.08,0.059,0.126,34834.98099,12,34207.918,34821.31889354061
15.27,64.25,0.085,0.044,0.145,34725.47529,12,34118.016,34794.25715394298
15.42,63.65,0.083,0.048,0.163,34524.71483,12,33841.29,34568.647857547556
15.25,62.78,0.083,0.033,0.122,34366.53992,12,33863.523,34389.62884120716
14.96,63.45,0.082,0.037,0.141,34117.11027,12,33368.883,34084.97075568838
14.87,63.99,0.084,0.077,0.093,33733.8403,12,33394.08,33751.90858018777
15.0,63.45,0.08,0.073,0.133,33119.39163,12,32698.77,33086.30836268288
14.96,64.49,0.083,0.055,0.111,32839.54373,12,32321.008,32874.28171867319
14.81,64.99,0.088,0.073,0.115,32127.75665,12,31848.08,32147.403957736322
14.66,67.12,0.085,0.077,0.126,31397.71863,12,30999.816,31403.878248381443
14.31,68.36,0.081,0.088,0.108,30935.36122,12,30691.836,30936.04335748777
14.35,66.72,0.089,0.073,0.1,30375.6654,12,30681.014,30333.660640485454
14.42,66.12,0.086,0.055,0.1,29688.21293,12,29605.05,29666.31458798555
14.46,68.19,0.086,0.059,0.067,28958.1749,12,29518.727,28974.838681915804
14.17,68.86,0.086,0.04,0.108,27942.20532,12,28249.914,28043.89694591231
13.96,71.1,0.085,0.055,0.119,27595.43726,12,28169.854,27619.46303684001
13.6,74.4,0.084,0.044,0.141,27102.6616,12,27422.773,27086.658850973883
13.96,74.0,0.084,0.062,0.163,26658.55513,12,26845.654,26717.285516217657
13.82,72.5,0.082,0.07,0.137,26038.02281,12,26262.97,26053.23520517511
13.76,72.6,0.082,0.048,0.137,25332.31939,12,25556.473,25296.989643865083
13.52,74.2,0.08,0.044,0.115,25009.88593,12,25289.438,25005.056639111626
13.85,73.7,0.081,0.07,0.108,24377.18631,12,25033.693,24324.34840466147
14.49,71.9,0.081,0.051,0.145,24182.50951,12,24336.39,24107.513488371984
14.56,67.62,0.079,0.07,0.119,23762.73764,12,24237.42,23695.183822535728
14.4,69.56,0.085,0.04,0.13,23336.88213,12,24005.598,23353.493148180467
14.09,71.2,0.081,0.062,0.115,22971.86312,12,23660.152,22944.947054845117
14.47,70.1,0.081,0.077,0.096,22728.51711,12,23642.395,22631.775406170134
14.79,68.36,0.079,0.059,0.1,22740.68441,12,23422.82,22627.946861650413
14.93,66.09,0.081,0.08,0.141,22515.58935,12,23077.305,22504.670812158434
14.78,67.19,0.082,0.066,0.159,22290.4943,12,22869.406,22267.00736335682
15.32,63.32,0.078,0.04,0.163,22132.31939,12,23194.195,22147.032562931185
15.36,63.95,0.08,0.084,0.108,21925.47529,12,22800.088,21892.92049121185
15.2,64.52,0.081,0.059,0.104,21639.54373,12,22649.805,21640.12559138042
15.17,64.52,0.078,0.077,0.082,21280.60837,12,22638.32,21296.90489920042
15.12,65.12,0.079,0.029,0.133,21262.35741,12,22292.332,21287.55457565427
15.13,65.75,0.079,0.04,0.122,21195.43726,12,22268.543,21206.42594681026
14.33,73.6,0.084,0.037,0.133,21085.93156,12,22049.662,21035.630290550715
13.61,79.1,0.081,0.048,0.111,21019.01141,12,22314.785,21029.929700611043
13.23,80.8,0.082,0.04,0.156,20836.5019,12,21322.367,20877.92452599494
13.29,80.8,0.083,0.066,0.13,20806.08365,12,21662.367,20882.739801302927
13.33,81.2,0.081,0.132,0.122,20726.9962,12,21305.105,20648.41431508494
13.24,81.5,0.082,0.077,0.119,20763.4981,12,21392.166,20883.61500516535
13.19,81.8,0.081,0.095,0.141,20781.74905,12,21331.373,20880.07409243758
13.53,79.3,0.081,0.066,0.171,20666.1597,12,21440.23,20641.298130938416
13.68,78.4,0.084,0.07,0.141,20781.74905,12,21991.576,20885.37210664099
13.65,77.2,0.086,0.121,0.126,20891.25475,12,22425.955,20887.29556885751
13.69,76.5,0.084,0.077,0.156,20927.75665,12,22168.33,20881.406110652417
13.66,76.2,0.083,0.062,0.141,21006.84411,12,22195.96,21031.537373919826
13.67,75.3,0.084,0.048,0.189,21304.94297,12,22330.795,21267.26946275954
13.68,74.9,0.084,0.077,0.152,22034.98099,12,23070.9,21982.629023653804
13.67,76.0,0.085,0.066,0.141,21797.71863,12,23038.576,21820.260676097372
12.96,76.3,0.078,0.11,0.126,21463.11787,12,22421.309,21464.81216243899
12.64,74.0,0.078,0.07,0.145,21377.94677,12,21891.838,21456.8170930039
13.04,72.5,0.083,0.07,0.152,21165.01901,12,21834.623,21193.839532159778
13.15,70.0,0.086,0.051,0.174,20739.1635,12,21403.371,20645.30365347862
12.92,70.4,0.083,0.08,0.13,19631.93916,12,20574.207,19660.619580798622
12.87,70.4,0.083,0.07,0.174,18500.38023,12,19552.87,18559.860006360195
12.86,70.6,0.087,0.091,0.148,18184.03042,12,19742.51,18482.098937785748
12.92,70.7,0.083,0.062,0.111,17624.3346,12,18900.51,18548.94366871881
12.82,71.4,0.083,0.077,0.137,17709.5057,12,18578.686,18545.09188973823
12.97,71.5,0.087,0.062,0.167,17922.43346,12,18931.758,18453.399943379765
13.01,72.5,0.084,0.066,0.122,17910.26616,12,18932.807,18510.594153075122
13.04,75.4,0.084,0.102,0.197,18098.85932,12,19386.117,18528.08981954201
12.71,76.2,0.08,0.176,0.245,18494.29658,12,19483.809,18623.083373415313
12.84,74.7,0.081,0.531,0.682,18883.65019,12,20387.154,18619.110403555336
